,business_id,stars_y,categories_count,location,open,environment,value,taste,food,survice,feeling
98,6Dc8n5zmf2WLrX1Q6yHzxw,4.5,2,5.0,5.0,5.0,4.25,5.0,4.4,5.0,5.0
99,6E8firUHULUasTt6puy2_A,4.0,4,4.22,4.33,5.0,4.25,5.0,4.4,4.43,4.07
100,6EARSVxeqMR1R33K9yNGmg,3.0,2,3.0,3.75,5.0,5.0,5.0,4.4,4.73,5.0
101,6Ege_N9uJ-rtKIs1TNA8aQ,2.5,2,4.75,4.17,3.0,5.0,5.0,4.4,4.8,3.67
102,6EiZAt37__sm2takl8HPXA,2.5,6,4.38,4.25,4.0,3.88,5.0,5.0,4.75,4.62
103,6G2KEkAgkAgSpIb4U8DgNw,3.0,3,4.0,5.0,4.0,4.33,5.0,4.0,5.0,5.0
104,6GW7g_YolSIcNwAiOHcc1g,4.5,3,4.11,4.6,4.0,4.33,3.67,4.0,3.0,4.2
105,6Me7r6qLyFSQJP0VZzQ-Wg,3.5,5,4.53,4.38,4.63,5.0,5.0,4.5,4.71,4.44
106,6ROKbSSPdvkDxwjW7nVlYA,5.0,5,3.0,4.33,4.63,5.0,4.16,5.0,3.98,4.33
107,6fPQJq4f_yiq1NHn0fd11Q,3.5,3,4.25,4.17,4.63,4.13,4.16,4.25,3.98,4.3
108,6hGFtOcrhYeAE0uBUNpgLQ,4.0,2,3.8,3.67,3.78,4.5,3.33,4.0,4.33,3.67
109,6oRpeY9AugWVb3ONCEVHuw,4.5,7,3.75,3.33,3.78,3.5,3.33,4.02,2.0,4.25
110,6qVc33e9KRAYEfoieio0cQ,5.0,5,4.07,5.0,3.78,5.0,3.33,4.02,3.96,5.0
111,6s7uduX1Q1KSjOKvwxYkRA,3.5,4,4.07,4.03,3.78,4.29,3.33,4.02,3.96,4.18
112,6zBS6fba8fwrs_fN3g55kQ,5.0,2,4.4,5.0,4.33,5.0,4.5,4.67,5.0,5.0
113,707ST4xhNavXNvZtEL-RgQ,3.5,2,4.4,4.0,4.33,5.0,4.5,4.67,4.0,4.0
114,708rW5WbXrqPHhmec-I5pA,5.0,6,4.21,5.0,4.33,4.29,4.41,4.27,5.0,5.0
115,74C1z6cqEdvJVgETTcEodw,4.0,11,4.21,4.33,4.33,4.29,4.41,4.27,4.27,4.35
116,77AfVfvvjfQXslusY8QElg,3.5,8,4.58,4.33,5.0,4.0,4.33,5.0,4.62,4.64
117,7A2JqMWCHv9DaEYoeFz0Ag,3.0,4,2.8,3.25,4.5,4.0,4.33,3.88,2.5,3.75
118,7B5kcuCUkQD3AI3vqFI2cA,3.5,5,2.75,4.17,4.5,1.0,4.33,3.88,4.0,4.0
119,7Ppgpgva-HP3o3h-xp2sWw,2.0,6,2.75,4.17,4.5,5.0,4.33,3.88,4.0,4.0
120,7QXbCdmyDFHFK_cbG4TPVQ,2.0,3,3.14,3.5,3.75,3.0,4.33,2.0,3.0,4.0
121,7Qt8-mOdqkAri_9t74h_EA,3.0,9,2.5,2.5,3.75,1.0,3.33,4.0,3.0,2.43
122,7W8S1-A8sB3ngsoHyNflGA,5.0,2,3.75,4.5,3.75,5.0,3.33,3.83,5.0,5.0
123,7Wr0piSMGiq5qy5opiLNrA,3.5,4,3.75,4.5,3.75,4.8,3.33,3.83,3.45,3.25
124,7aHzNulGbSgDpllHT3Qfiw,4.0,2,1.5,1.0,3.55,4.0,3.33,4.5,2.5,1.0
125,7ecNL_K0X9bCRAXoOnXycA,2.0,6,3.5,3.0,3.55,4.0,3.33,4.5,1.5,1.0
126,7hpcxyY0azlVtwAlg9N-wA,5.0,3,3.5,1.0,3.55,4.0,3.33,4.5,1.5,1.0
127,7lp3IV5xQNXxYcsRaaNWHA,1.5,3,3.5,1.0,3.55,4.0,3.33,4.5,1.5,1.0
128,7v-2HkyrfYkPf471v4gCmg,2.0,2,5.0,3.73,3.55,2.0,3.33,4.5,3.5,4.5
129,7vWb1Afpm2arr8NCaE_EyQ,4.5,4,5.0,3.75,3.55,4.8,4.0,4.5,4.67,5.0
130,7wMCJ9NqL9eBEX4WdJWuIA,3.5,2,3.43,3.24,3.55,3.67,4.8,3.78,3.73,4.14
131,81-wh-qHg2hvwHQBjC0Q-w,3.0,5,3.55,3.75,3.5,3.25,5.0,3.57,3.58,3.88
132,82yel7phFJAXLKTi5-Kz8Q,2.5,4,1.0,1.8,5.0,1.0,2.0,5.0,4.0,5.0
133,83gW66zb2LHNHB_95IhxgQ,4.5,4,1.0,5.0,5.0,4.0,2.0,5.0,4.0,1.0
134,85_UE8pg0tw8T7-RKmKIgA,5.0,2,3.5,3.44,5.0,4.0,2.0,5.0,4.0,3.0
135,883p8Iq1DGAcrP6GU5XRog,1.0,5,3.71,3.44,5.0,3.0,2.0,5.0,3.44,3.0
136,88pdf6YYPBkn1xjaXJNRsw,3.0,5,5.0,5.0,5.0,5.0,5.0,5.0,3.93,4.5
137,893VryJbZcCm5V9xon_aLA,5.0,5,5.0,5.0,5.0,3.67,5.0,5.0,3.93,4.5
138,8EDsTHnSfsAJSD17TM3fMA,3.5,4,3.21,3.97,3.35,3.67,5.0,5.0,3.93,2.78
139,8HzLwYCLlp4aYwG73elHcA,2.0,5,3.5,3.55,3.35,3.33,4.0,2.0,3.92,4.33
140,8KfDZZJ-UVg80C887xLpGA,2.0,3,2.0,4.31,3.35,2.0,2.0,2.0,4.11,4.17
141,8LDQnTOiqNF6C8EdCF1Slg,4.0,8,4.0,4.31,3.35,4.12,2.0,2.0,4.11,4.17
142,8UMFvFWmSpfl8JZ_jm1K3A,3.0,4,4.05,4.0,3.35,4.12,2.0,5.0,4.04,3.8
143,8Y_PQ1l710Jv_xcAwGZabA,4.0,4,2.0,3.0,3.35,3.0,2.0,3.59,3.0,4.0
144,8_gzv_ts-NJ5xOGWW7ZEPQ,4.5,2,3.33,3.0,3.35,3.0,4.5,3.59,3.67,4.0
145,8bZ49zy4KlFVu5teFETYhQ,3.5,3,3.38,3.33,3.35,3.37,4.5,3.59,3.54,3.76
146,8lZtLSeJVg28Gb75iklmmQ,3.0,8,3.61,3.45,3.23,4.13,2.67,3.25,3.37,3.67
147,8nuvHKCDRrGjmm5c1gUnRw,2.0,7,3.8,2.78,3.12,4.0,3.0,1.0,2.78,2.0
148,8t4RND0dQhO0MBvyuMVkKA,4.0,6,4.0,3.8,3.12,3.5,3.0,4.0,3.0,4.0
149,8vkFJ_kA8XxDyjHfmsdEOg,3.5,4,3.79,3.75,3.12,3.1,3.0,3.67,3.77,3.93
150,8wFiWvlfOVt1zvAvsoLw2g,3.0,2,4.0,4.0,2.0,5.0,3.0,3.0,3.0,3.78
151,8z8WXyWjynSgDe71zIa-CQ,4.0,2,4.0,4.0,4.0,3.75,3.0,4.0,4.21,3.78
152,95OKRGypX25zoyvJYunU4g,4.0,3,3.72,3.68,4.0,3.75,3.0,4.0,4.21,3.78
153,9IdMkeSBwvaCmtl3opdcUw,2.5,2,3.1,3.38,1.0,3.62,2.5,1.0,3.71,4.5
154,9MK66QkfnTp6BxZudH9wxg,3.5,4,2.68,2.78,1.0,2.86,2.5,1.83,2.33,2.67
155,9MOnaiFbZn0UDHRhVf5qzw,5.0,10,2.0,3.67,2.0,1.0,2.67,2.67,3.6,3.8
156,9SzxzTb2hQ7oVkWGm5M4ug,4.0,5,3.33,3.0,2.0,1.0,2.67,2.67,3.6,3.8
157,9YB4qqmyglww3bbW7i0kOA,4.0,5,2.63,2.42,2.0,2.14,2.67,2.67,3.25,2.33
158,9YiQ3o0EGmtojzjXdEfgeQ,4.5,6,2.97,3.35,4.0,4.0,2.0,2.64,2.86,3.04
159,9_dcNzHmG2lNZYx1IjrXgg,3.5,2,1.0,2.75,1.0,2.29,2.0,4.0,1.0,3.17
160,9eXubYXgL7Chi4ZLuBBOKQ,4.0,2,2.71,2.75,1.0,2.29,2.0,4.0,3.06,3.17
161,9ffhtZhp7RclEJM0OHnGPA,1.0,4,1.0,3.4,1.0,3.33,2.0,4.0,3.0,2.0
162,9hV1Up0dOHpHFLEhFH0wtw,5.0,4,1.0,4.0,1.0,3.33,2.0,4.0,3.0,1.0
163,9i6MDwYxNvJv2Wqop3RUTA,2.5,5,4.33,4.0,1.0,4.5,2.0,4.0,3.0,4.0
164,9jnhDyTfabr1Z8bFy41Z3g,5.0,5,3.0,2.5,1.0,1.0,2.0,4.0,3.0,4.75
165,9lVwit0qe1x6jKogS2rFdw,5.0,2,3.0,2.5,1.0,3.0,2.0,4.0,3.0,4.75
166,9pRiP9fgu8DQUqEp4JYjtA,2.0,3,2.5,2.5,1.0,3.6,4.5,4.0,3.0,4.75
167,9phyjc0gaJTRO_YFJDH6mg,4.5,2,4.5,4.67,1.0,3.6,4.5,4.0,4.25,4.75
168,9qDw5ntqNBJE-I-YzX9g1A,3.0,3,3.67,2.67,1.0,2.67,3.75,2.0,2.67,4.0
169,9w74u5SUufHoGNhivMzaiQ,4.0,3,5.0,3.0,1.0,3.75,3.75,2.0,3.9,5.0
170,9zH9cMABl2ZiBWlvvHJ_kQ,5.0,5,5.0,3.0,1.0,3.75,3.75,2.0,3.9,3.57
171,A2K7_R-NYuSMmdpp8yuB9w,5.0,2,5.0,3.0,1.0,5.0,3.75,2.0,2.5,3.0
172,A88FnL2glUFjMKI39uXxkw,2.5,5,3.1,2.8,1.0,2.0,3.75,2.0,2.5,3.0
173,A9qmduhmrTZxSg7uTOnzYg,4.5,3,3.1,3.19,1.0,5.0,3.75,2.0,3.6,3.0
174,A_UudiXQhzeACLp43NxxEw,5.0,3,3.0,2.5,1.0,5.0,1.0,5.0,3.5,1.0
175,Aak-D4LVPmPS_vzWKPPa9g,5.0,5,3.17,2.81,1.0,5.0,1.0,5.0,5.0,3.55
176,AbRIvxhf1rYH7dBjJZgyPg,5.0,5,3.17,2.81,1.0,5.0,1.0,5.0,5.0,3.55
177,AbvFCQdnvvdr-J-slJxcFQ,2.0,4,2.6,3.4,2.88,1.0,1.0,5.0,4.0,5.0
178,AhQ4CSFw-agZMGfm1HwosA,5.0,2,3.75,5.0,2.88,1.0,1.0,5.0,3.33,3.2
179,AkED0tHIbZfe1rYEp-HWgw,2.5,3,1.0,4.0,2.88,4.0,1.0,5.0,4.0,2.5
180,AkVmlWrFs8Zxop0Azhc-5g,3.0,2,1.0,1.0,2.88,4.0,1.0,5.0,4.0,2.5
181,AtIyt5nYQ_eLPdOnLukmXQ,4.0,5,2.33,2.14,2.88,4.0,1.0,5.0,4.0,2.5
182,AwNKZ7fAAyjOcpTputzupA,2.5,3,2.75,2.14,2.88,2.0,1.0,5.0,3.0,3.75
183,AxXcGjLCTVkeLwPRMHVL8Q,5.0,2,3.2,3.36,2.88,3.62,2.0,5.0,3.49,3.43
184,AztVIokc5VtP4m8r6kSnWw,2.0,3,4.5,3.75,2.88,5.0,2.0,5.0,4.5,1.0
185,BAjbkzPVqPsIPOmioaPgQg,3.5,11,4.0,5.0,2.88,5.0,4.0,5.0,4.4,5.0
186,BEd0vR8hrkJ-mW2-b5N9Ng,5.0,2,4.0,5.0,2.88,5.0,4.0,5.0,4.4,5.0
187,BFa7L8dr3sUUG1N2bPb-BQ,3.5,4,4.0,5.0,2.88,5.0,4.0,5.0,5.0,4.5
188,BHLHawbaMIWv7CCh0oXvAw,3.0,2,5.0,5.0,2.88,5.0,4.0,5.0,3.07,3.27
189,BIbjBxoiJLS8CnNsSP64TQ,2.0,2,3.39,3.39,2.88,2.47,4.0,3.31,3.07,3.27
190,BNDP3up8Ltn7oVXEt4YLqw,3.5,2,3.15,2.91,2.4,3.8,3.8,2.88,3.1,3.38
191,BPKTwjz2HZCRWyWHP91mPg,4.0,7,3.0,3.67,3.67,3.5,3.33,3.57,3.5,1.0
192,BQlR8VWkWIzv4zzLPp7OuQ,4.5,2,4.0,3.67,3.67,3.5,3.33,3.57,3.5,1.0
193,BS2Y5IZiCOHBebHMEU2dEQ,3.5,5,4.0,4.0,3.67,3.5,3.33,3.57,3.5,4.25
194,BolK3j0LiGtxYxfRhGJFvA,5.0,4,3.27,3.16,3.65,3.53,3.33,4.5,3.46,3.48
195,BsMdebN4nZySpGTfXr-7yg,5.0,5,3.0,4.0,3.65,5.0,5.0,4.5,4.0,4.5
196,BxouWzeD7dVUwElKaBWpWw,5.0,2,4.5,4.0,3.65,5.0,5.0,4.5,5.0,4.5
197,ByA7lECfIG8RwQICcMnyBQ,3.0,4,4.5,4.5,3.65,5.0,5.0,4.5,5.0,5.0
198,BzwqdhZ9Ndrbvrc6bIxb5A,2.5,2,5.0,5.0,3.65,5.0,3.0,4.12,5.0,5.0
199,C-FUOOOW0pW5p_RZ3k7W_Q,5.0,4,5.0,5.0,3.65,5.0,3.0,4.12,5.0,4.23
200,CCNp1qS8n2gh51X7Wadabw,2.0,2,4.19,4.21,3.65,3.69,3.0,4.12,3.94,4.23
201,CH4my_JJ7PJ2T_4uQX4LwQ,3.0,2,5.0,3.55,3.0,5.0,4.67,5.0,5.0,5.0
202,CIdyd88FK-4-YaEFo3Ht6A,3.5,4,4.0,3.55,3.0,3.82,4.67,3.68,3.58,3.74
203,CNwY37pdEDwLl1ehwog6xg,3.5,2,5.0,4.8,4.0,5.0,4.5,4.43,4.5,5.0
204,CShAODPz_Wm7MCSTKvJ5zA,1.5,2,4.46,4.67,2.0,5.0,4.33,3.67,3.67,5.0
205,CTN5Z3fs3jFHfyma8XxzVg,3.5,4,4.46,3.6,2.0,5.0,4.33,3.67,2.0,4.75
206,CXqJyYEFhpdXqAUZyPLeHA,3.0,2,4.0,3.0,2.0,3.0,5.0,4.25,3.0,4.0
207,CYXz0Ze2cG0jVdtYI5yvoQ,4.0,4,2.67,3.25,2.0,4.0,5.0,1.0,3.0,3.0
208,Cat1JuOOdv89E8Zck23smQ,5.0,6,3.0,3.4,2.0,4.0,5.0,1.0,2.33,3.75
209,CbiWuJUROs92f-1IRus-0w,2.5,6,4.0,4.0,2.0,4.0,5.0,1.0,3.0,4.0
210,CbzwY3ioXAAdyynCmfGJlw,4.0,4,2.0,2.75,2.0,3.0,5.0,4.0,3.0,2.8
211,CeYOohT_QMhITFd1TZ7i-A,1.0,2,2.7,3.2,2.0,2.83,5.0,4.0,3.75,4.0
212,CgF0aw5JgUnpn4BrieN5QA,3.5,3,2.7,3.29,2.0,3.17,5.0,4.0,2.88,2.8
213,CqxDQPhltNo6wkkCWww80Q,3.5,3,3.5,4.33,2.0,3.5,1.0,2.67,5.0,3.57
214,CrAijJgeEj2L-bdQB3vvSw,3.0,6,5.0,4.33,5.0,3.5,3.0,3.33,5.0,3.57
215,CrfvVLo8uYRo_GBHIrMfPw,1.0,3,4.0,4.33,5.0,3.5,3.0,3.33,4.0,3.57
216,CtJCRAklyjQ67miNgSvtUw,4.5,10,3.26,3.57,5.0,3.5,3.0,3.33,4.0,3.57
217,CyWqZ2lhOO-6-UY1anxI4A,1.0,7,4.62,1.0,5.0,4.91,4.0,1.0,4.93,4.64
218,D07th0gRkq6X5edcNi3oZA,4.5,6,4.62,5.0,5.0,4.91,4.0,1.0,4.93,4.64
219,D31DDlRMXYxpZORJIldzQA,4.0,5,5.0,4.0,5.0,4.0,4.0,1.0,4.5,4.5
220,DK1NSR48HJ7bAgM_9qoDug,2.5,3,4.54,4.11,5.0,5.0,4.0,1.0,5.0,4.8
221,DMMEWBNOJhB9nG_2J1lYvg,3.0,4,4.2,4.26,5.0,4.33,4.0,4.83,4.26,4.16
222,DO32u1Q6RV2j11W6nzeW6A,5.0,4,3.25,5.0,4.67,3.5,3.0,3.22,3.37,3.83
223,DUeqWfBI90UBR6xSYQO3uw,3.0,12,3.25,3.52,4.67,2.25,3.0,3.22,3.37,3.83
